Date,Target,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal
2024-03-05,0,-0.009343291,0.010659697,33.32212612,49.95718123,28.12915066,30.13129718
2024-03-06,0,-0.002990014,0.008735034,31.3199986,54.06868915,25.8043601,29.26590976
2024-03-07,1,0.002318019,0.008435358,31.07927595,56.54312567,24.17788918,28.24830565
2024-03-08,1,0.012286252,0.008624549,31.46641323,56.16488873,25.23899572,27.64644366
2024-03-11,0,-0.007681416,0.008481807,30.53642927,45.8364031,24.14659697,26.94647432
2024-03-12,1,0.008225958,0.008611412,29.82856097,54.90765903,24.76814437,26.51080833
2024-03-13,1,0.004375515,0.008327768,29.47141811,57.98810491,25.91097409,26.39084149
2024-03-14,1,0.009308421,0.008036154,29.95785086,60.23364087,28.52052576,26.81677834
2024-03-15,0,-0.019281614,0.009290866,31.48570033,49.86339222,26.09826591,26.67307585
2024-03-18,1,0.007099277,0.008957408,30.40499442,56.1897202,25.41873736,26.42220816
2024-03-19,0,-0.011108355,0.008925677,30.7849993,54.85126177,22.22982012,25.58373055
2024-03-20,1,0.012707991,0.009179669,30.94070871,55.77913349,22.18790462,24.90456536
2024-03-21,1,0.023773467,0.010513593,33.91500419,64.71510559,27.06507737,25.33666777
2024-03-22,0,-0.002289504,0.010539282,32.80358887,60.41496673,30.07522218,26.28437865
2024-03-25,0,-0.004006469,0.010612641,32.55001395,62.86140826,31.2141658,27.27033608
2024-03-26,1,0.007105117,0.010464801,34.13642229,66.31017222,33.3079361,28.47785608
2024-03-27,0,-0.000718399,0.0102016,33.44642857,65.34561878,34.41082965,29.6644508
2024-03-28,0,-0.003377628,0.010102328,31.57502093,60.01712322,34.1416881,30.55989826
2024-03-29,1,0.000294883,0.010026967,31.34786551,64.13099907,33.60634372,31.16918735
2024-04-01,1,0.000447803,0.009745213,31.12074498,61.53308364,32.90207367,31.51576461
2024-04-02,1,0.001926845,0.009414114,31.20861816,60.64522038,32.39811917,31.69223553
2024-04-03,0,-0.016919394,0.010272654,32.70861816,48.04080666,27.949406,30.94366962
2024-04-04,1,0.012857664,0.010596933,31.81576102,63.23236752,26.93985351,30.1429064
2024-04-05,0,-0.010186661,0.010612515,32.80861119,54.84474292,23.62501749,28.83932862
2024-04-08,1,0.00126658,0.010430844,31.24717494,61.53210665,21.03310405,27.2780837
2024-04-09,0,-0.004606473,0.010362278,31.31288365,53.06430854,17.76635665,25.37573829
2024-04-11,1,0.000665192,0.010321119,30.65860421,36.85217128,15.1480672,23.33020407
2024-04-12,0,-0.009330526,0.010301427,31.32716588,33.39799221,10.91861177,20.84788561
2024-04-15,0,-0.004256211,0.009380468,31.95075335,33.33163623,6.571892338,17.99268696
2024-04-16,0,-0.023031079,0.010539556,33.89004953,19.61837675,-1.758696779,14.04241021
2024-04-17,0,-0.009800187,0.010480284,35.70575823,17.88836399,-10.29566502,9.174795165
2024-04-18,1,0.019361089,0.01104135,38.82503836,31.92462757,-12.83675636,4.77248486
2024-04-19,0,-0.016393499,0.009882396,43.30503627,27.85269249,-18.0987755,0.198232789
2024-04-22,1,0.014395067,0.010626163,44.32929339,34.65103783,-19.0173647,-3.644886708
2024-04-23,0,-0.00244454,0.010618043,44.25214495,33.18082944,-20.03246551,-6.922402468
2024-04-24,1,0.019903382,0.011549188,44.86929757,46.03223066,-16.39310199,-8.816542373
2024-04-25,0,-0.017770677,0.012104736,45.42000907,36.02041652,-17.11458161,-10.47615022
2024-04-26,1,0.010486462,0.012435251,45.19072614,42.86208059,-15.27432423,-11.43578502
2024-04-29,1,0.011643546,0.012783053,46.06713867,46.51243281,-11.17676228,-11.38398047
2024-04-30,1,0.001717676,0.012794239,45.04356166,48.45970877,-7.470494845,-10.60128335
2024-05-02,0,-0.00312895,0.012782771,42.00639997,47.30113701,-5.152485877,-9.511523854
2024-05-03,0,-0.002619275,0.012250721,41.60569545,49.37275653,-3.837665754,-8.376752234
2024-05-07,1,0.021338947,0.012870851,42.82498605,56.94787752,1.841458137,-6.33311016
