Date,Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2022-12-15,0,375386441,6.13422E+12,-0.083975137,-57603350762,-2.98291E+11,-8719135548,-32841472676
2022-12-16,0,414172006,7.20618E+12,0.103321699,2.92665E+11,-2.84645E+11,-29029254750,701804830
2022-12-19,0,323987461,5.01805E+12,-0.217746597,-23447749615,86622369705,-9264675655,-7252377161
2022-12-20,0,358771039,5.33584E+12,0.107360877,-1.03782E+11,33909060964,-10256705430,-31076434114
2022-12-21,0,329724466,5.10249E+12,-0.080961309,-1.04602E+11,1.5021E+11,5930134084,-4930789389
2022-12-22,1,553052921,9.46086E+12,0.677318422,-4506398238,1.003E+12,79588927476,7018680026
2022-12-23,0,366988585,5.9358E+12,-0.336431341,-66547818899,2.77286E+11,2888230220,20398289522
2022-12-26,1,427844636,5.20575E+12,0.16582546,-37116880117,4.73269E+11,26484175191,-17765057553
2022-12-27,1,448498792,7.12699E+12,0.048274898,50235108852,9.42397E+11,60737702943,-66862812880
2022-12-28,0,405893520,7.56689E+12,-0.094995288,-3.10789E+11,-7.68702E+11,56865346579,-624487045
2022-12-29,0,361194425,6.03654E+12,-0.110125175,-1.43667E+11,-5.66108E+11,14269000236,-1006283324
2023-01-02,0,346344799,5.20014E+12,-0.041112556,5257042085,-1.66669E+11,13169404718,-23713102319
2023-01-03,0,410245325,6.14908E+12,0.184499742,88281512217,-3.53594E+11,-1797629888,6457554831
2023-01-04,1,412841149,6.4876E+12,0.006327492,2.60982E+11,-1.89658E+11,1.2239E+11,39544825739
2023-01-05,1,430977022,7.52118E+12,0.043929422,5.02343E+11,-3.82313E+11,21569199466,41987663170
2023-01-06,1,398606581,6.76411E+12,-0.075109436,3.15749E+11,-25423582718,76575393836,88457631466
2023-01-09,1,342095527,7.02898E+12,-0.141771503,6.57331E+11,3.90789E+11,86464426490,47349479088
2023-01-10,1,359914195,6.70291E+12,0.05208682,-1955421808,2.26599E+11,36569233912,1707120467
2023-01-11,1,369010952,6.29715E+12,0.025274794,34916836086,2.09296E+11,13944886180,887169619
2023-01-12,1,580433350,7.83778E+12,0.572943423,4.8584E+11,-4.17452E+11,30052717345,-59584049512
2023-01-13,1,862230157,6.97674E+12,0.485493825,5.71528E+11,1.59463E+11,22933461293,30440336186
2023-01-16,1,517762227,6.53281E+12,-0.399508098,3.00049E+11,1.86226E+11,15197634577,-551930336
2023-01-17,0,536811108,6.31402E+12,0.036790789,1.7917E+11,-1.64859E+11,-7530401840,-53369898373
2023-01-18,0,537392995,5.49858E+12,0.00108397,73091904331,-66670959296,-52747443860,-36943462243
2023-01-19,1,370098909,5.44818E+12,-0.311306786,5.72094E+11,-1.7486E+11,-10879928754,-80966651984
2023-01-20,1,302506895,5.02554E+12,-0.182632297,2.31019E+11,-14319139613,5360437888,-18699191936
2023-01-25,1,550087246,6.66541E+12,0.818428787,7.68164E+11,38041461158,1430289427,3921901023
2023-01-26,1,486831888,8.2064E+12,-0.114991501,8.12271E+11,1.0343E+11,1.02362E+11,9855666079
2023-01-27,1,509288123,9.09245E+12,0.046127289,9.73962E+11,2.75039E+11,-5958689914,-3608051218
2023-01-30,0,475410252,9.22041E+12,-0.066520049,15451352757,-2.73468E+11,-87838601431,46355820147
2023-01-31,0,617195639,1.03948E+13,0.298237967,-4.75136E+11,2.75797E+11,-1.01995E+11,2148887413
2023-02-01,1,666296326,8.59602E+12,0.079554494,1.95926E+11,-52303870976,-3520884562,-78398404138
2023-02-02,1,693116445,9.12168E+12,0.040252539,5.55702E+11,-1.58532E+11,-18378820063,-75852117933
2023-02-03,1,496860518,8.02706E+12,-0.283150008,5.86759E+11,-63039555079,-55521002201,-44471545507
2023-02-06,0,566819415,7.67131E+12,0.140801884,-3.13376E+11,-5.13916E+11,1292527326,59431451490
2023-02-07,1,451159027,7.59401E+12,-0.204051564,-57899119596,-2.61339E+11,-24874093917,-3976087428
2023-02-08,1,415677405,8.00168E+12,-0.078645488,5.92589E+11,-54384591585,30061993647,-26298095420
2023-02-09,0,610694361,8.98638E+12,0.469154574,1.50077E+11,-3.18124E+11,12472107301,-10216610685
2023-02-10,0,662365593,8.40262E+12,0.084610626,48792690878,-5.05074E+11,-18575051438,22680815311
2023-02-13,0,486398581,7.37104E+12,-0.265664482,67142363935,-2.346E+11,-91062627469,3545391321
2023-02-14,1,349432106,6.73887E+12,-0.281593081,60914632775,2.70696E+11,11472385094,42074902145
2023-02-15,0,387066656,8.75872E+12,0.107702038,-2.68653E+11,-5.56774E+11,-61306382157,-55446570937
2023-02-16,1,388027117,9.17036E+12,0.002481384,69569379732,7.47741E+11,32367503156,23358194703
2023-02-17,0,514047410,8.3645E+12,0.324771872,1.19555E+11,-3.8413E+11,-15842135074,389997102
2023-02-20,1,390012511,7.53547E+12,-0.241290777,-3.15404E+11,1.89609E+11,-23687266851,14405395860
2023-02-21,1,494660925,7.33362E+12,0.268320659,29870543937,-2.10716E+11,32072256514,36826751727
2023-02-22,0,427481883,8.38625E+12,-0.135808265,-1.95119E+11,-5.07032E+11,-38575609410,-43148744788
2023-02-23,1,400991556,7.45198E+12,-0.061968303,10865840744,2.5447E+11,22017980740,-6741568660
2023-02-24,0,369900381,6.9911E+12,-0.077535735,-3.00375E+11,-86813841190,-2252160028,-5704023599
2023-02-27,0,357218105,6.59823E+12,-0.034285653,-3.24863E+11,-4.50193E+11,24596019120,13165167304
2023-02-28,1,529789810,9.2742E+12,0.483098988,-2.86814E+11,2.61337E+11,69060349115,43698239338
2023-03-02,1,428342155,9.66027E+12,-0.191486611,5.33327E+11,-2.63657E+11,59053530345,5099325887
2023-03-03,1,371881849,7.84538E+12,-0.131811229,-90856850044,12402292894,24449713686,-22650316184
2023-03-06,1,418813757,9.78123E+12,0.126201126,3.27078E+11,3.52158E+11,29365414870,39342421635
2023-03-07,1,450481378,1.07325E+13,0.075612657,3.40646E+11,-2.84303E+11,69140064063,66726943673
2023-03-08,0,438358914,9.96706E+12,-0.026910022,57685403343,-9.4539E+11,-7269292098,35157310419
2023-03-09,0,476374647,1.03576E+13,0.086722847,-9.73156E+11,4.27484E+11,66549291352,53566407460
2023-03-10,0,413411029,7.87552E+12,-0.132172479,-3.2647E+11,-3.40477E+11,41076391193,1.02505E+11
2023-03-13,1,380739619,7.7023E+12,-0.079028879,18632896391,1.23109E+11,55897538754,92242816304
2023-03-14,0,485075534,7.7946E+12,0.274034825,-6.39755E+11,55506808455,-11180382567,58012670657
2023-03-15,1,443751262,7.59176E+12,-0.085191417,-74597011259,2.46306E+11,26516499218,23114709977
2023-03-16,0,320194084,7.86579E+12,-0.278437919,-88667303615,-1.34669E+11,26445001521,71323110401
2023-03-17,1,364175642,8.61706E+12,0.137359059,80096196090,38882770186,23926207492,-20192849188
2023-03-20,0,346033948,6.07291E+12,-0.049815781,-2.0616E+11,98966686623,19652641623,2406250066
2023-03-21,1,355194640,7.26904E+12,0.026473391,-55738649490,86287001422,27179255583,-2093270570
2023-03-22,1,501412159,7.89032E+12,0.411654633,2.03986E+11,99644062643,15849178122,-10437089136
2023-03-23,1,567703733,1.03674E+13,0.132209746,2.14462E+11,1.74543E+11,4974834272,26266196533
2023-03-24,0,470659232,9.24818E+12,-0.170942158,1.24285E+11,-3.06353E+11,37912359593,-978431835
2023-03-27,0,472847242,8.53465E+12,0.00464882,-94607071810,1.70698E+11,-40947330830,-10528162565
2023-03-28,1,524016141,8.81262E+12,0.108214439,-41416558808,3.08731E+11,7868591050,-18677792124
2023-03-29,1,497218499,8.82989E+12,-0.051138963,28626612543,2.03111E+11,17520536222,40872484357
2023-03-30,1,629052032,1.08466E+13,0.265142052,2.63169E+11,-62106224326,-18746992055,4930788841
2023-03-31,1,722612208,1.29034E+13,0.148732015,6.8767E+11,2.05551E+11,15176586139,8115380607
2023-04-03,0,811723687,1.13003E+13,0.123318535,-1.64098E+11,-3.3185E+11,26773822103,-14772924822
2023-04-04,1,832555311,1.34969E+13,0.025663442,-3.12697E+11,2.5581E+11,43036543221,-69463515953
2023-04-05,1,632719928,9.81188E+12,-0.240026555,-17512189534,3.29469E+11,25358774991,-31179436869
2023-04-06,0,751378076,1.13327E+13,0.187536606,-4.91514E+11,-4.84668E+11,-49498833193,28357773647
2023-04-07,1,586992797,1.12502E+13,-0.218778381,6.95129E+11,1.22463E+11,70992895665,14708973054
2023-04-10,1,717648069,1.35399E+13,0.222584115,7.40467E+11,-57200271267,61961579885,-14367167712
2023-04-11,1,768175552,1.40506E+13,0.070407049,1.87145E+11,2.18523E+11,-18174705181,61531935197
2023-04-12,1,900749506,1.44263E+13,0.172582886,2.35248E+11,-1.9705E+11,21658167742,-20848581433
2023-04-13,1,841719152,1.19964E+13,-0.065534706,-3.4626E+11,4.41455E+11,71607273848,-8705388542
2023-04-14,1,892445555,1.30882E+13,0.060265236,1.87097E+11,2.34184E+11,-61598452192,73643229275
2023-04-17,1,775752420,1.27937E+13,-0.130756587,-16806833778,-2.72613E+11,24085781854,-6906690647
2023-04-18,0,896932434,1.41064E+13,0.15620965,3.88774E+11,-5.47473E+11,-57339046389,-34261345421
2023-04-19,1,956994366,1.27509E+13,0.06696372,-6936407712,49880594175,-10175602887,46122628274
2023-04-20,0,951423099,1.24155E+13,-0.00582163,1.5424E+11,56385023665,-44165597440,-44472340833
2023-04-21,0,970397971,1.26147E+13,0.019943674,2.77816E+11,2.32382E+11,-1.64738E+11,-40182438766
2023-04-24,0,927191299,1.15895E+13,-0.044524693,-33457709260,2.48757E+11,-76726733066,-38771401129
2023-04-25,0,886421798,1.36812E+13,-0.04397097,8604656152,48669797443,-83562128478,24363084183
2023-04-26,0,1089215527,1.23975E+13,0.228777913,-92523705480,-61995042805,-47539128616,15337684269
2023-04-27,1,733499935,1.11421E+13,-0.326579619,2.8005E+11,-5.71763E+11,24805635641,32395984842
2023-04-28,1,777535095,1.40248E+13,0.060034307,2.97814E+11,-3.47262E+11,9575342784,-20026036599
2023-05-02,1,701398536,9.94239E+12,-0.097920415,3.44755E+11,1.91935E+11,1195030937,20220427019
2023-05-03,0,889609358,9.86586E+12,0.268336491,-91428316585,-1.91638E+11,-24640022215,-19957725851
2023-05-04,0,810178245,1.002E+13,-0.089287632,39620053616,-2.61001E+11,7450229244,-63699621016
2023-05-08,1,655536077,9.21304E+12,-0.190874254,2.53039E+11,4.45863E+11,35558512859,-1.12003E+11
2023-05-09,0,751646926,9.35137E+12,0.146614126,1.15246E+11,14371563962,7424806742,28258174569
2023-05-10,0,635635038,8.9067E+12,-0.154343594,1.15507E+11,-1.11175E+11,-4684242130,-61461501851
2023-05-11,0,648134386,9.00241E+12,0.019664347,1829048943,13706685978,26152016461,17623274813
2023-05-12,0,798229990,8.58924E+12,0.231580992,-2.47468E+11,-61425594326,-13548821653,-34266627
2023-05-15,1,484564791,6.92028E+12,-0.392950908,-49794741705,91931794877,4991779430,48066738562
