Date,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2022-06-13,660309279,10335873891430,-0.08808372074257753,-500936156417,-19960737892,-28707886347,-21452791231
2022-06-14,671756827,9992819780261,0.017336645666007566,-281091726857,196842397908,1888361783,37630740420
2022-06-15,714143493,9936928113647,0.06309822884762428,-460947268291,165801242824,-57685217468,-51168852286
2022-06-16,584041265,9588186586438,-0.18217939290248497,145687672170,13518358975,-7955205617,682634490
2022-06-17,634896746,11201571607435,0.08707515041766789,-390174301940,400824600077,-14867217619,-22663672667
2022-06-20,592701890,9092289259636,-0.0664593987382005,-665852399783,499824552251,2030978847,-9230276569
2022-06-21,479678348,7440755424721,-0.19069205600137362,-320130504579,500888893826,2370695805,-11902729084
2022-06-22,532138957,8690134078974,0.10936622263383877,-320221766684,35768962223,-42851418825,-33092079769
2022-06-23,749660688,10212365984694,0.40876866491095853,-296146879581,974377046701,19624388395,-25009595847
2022-06-24,654445552,8469155606714,-0.12701097646459492,-33735936565,551765297515,8901879106,16210429718
2022-06-27,510587331,7656358037502,-0.21981694361030668,266273068853,-286643384372,47490242726,-34119249417
2022-06-28,564985557,7193433718663,0.10654049306993096,-35441901944,-36734927724,-2866212353,-47597426134
2022-06-29,422127378,7965810495235,-0.25285279814683825,-232925576404,-407337058782,-20592893721,-39956101845
2022-06-30,515396401,8923480624878,0.22094994985139293,-233941442187,-236940985607,4308252334,-1820926959
2022-07-01,530345985,8687669165705,0.029005992224613975,-340027562088,132817377964,-26655350673,-34806063444
