Target,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1
1,0.1000000000000005,0.0420000000000002,-0.07,0.0049998799999999
1,0.0099999999999997,0.008,0.03,0.00300002
0,0.0499999999999998,0.0219999999999997,-0.04,0.01999998
1,-0.04,-0.0289999999999999,0.0,-0.0210001499999999
0,0.0200000000000004,0.008,0.0099999999999999,-0.007999894
1,0.0300000000000002,0.0139999999999997,0.01,0.014000174
1,-0.0700000000000002,0.0130000000000003,0.03,0.0059998099999999
1,0.0300000000000002,-0.0500000000000002,-0.02,0.01699996
0,-0.0500000000000007,0.0409999999999999,-0.02,0.0090003
0,0.04,-0.036,-0.06,-0.05000019
1,-0.0899999999999998,-0.0069999999999996,0.02,0.0020000899999999
1,-0.0899999999999998,0.0059999999999997,-0.03,-0.0120000799999999
0,0.1799999999999997,-0.0189999999999996,-0.02,-0.032999996
0,0.1299999999999999,0.0639999999999996,0.0099999999999999,0.023000002
1,-0.1299999999999999,-0.02,0.05,0.027999878
1,0.0200000000000004,-0.0059999999999997,-0.02,0.0020000959999999
1,0.0599999999999996,0.0190000000000001,0.0,0.00300002
0,0.2200000000000006,0.048,-0.06,0.00500011
0,-0.0600000000000005,0.0719999999999996,0.02,-0.023
1,-0.0199999999999995,-0.02,-0.0099999999999999,-0.0050001099999999
1,0.0699999999999994,0.0,-0.01,0.0050001099999999
0,0.0,-0.008,0.0,-0.0070002099999999
0,-0.0499999999999998,0.008,0.02,0.01400018
1,0.0499999999999998,-0.0029999999999996,0.0,-0.0120000799999999
1,0.0600000000000005,-0.06,-0.05,0.00999999
0,-0.04,0.032,-0.03,0.0119998399999999
0,0.0300000000000002,-0.0340000000000002,-0.01,-0.031999824
1,0.0199999999999995,0.024,0.01,0.0039999489999999
0,-0.0599999999999996,-0.0049999999999998,0.0199999999999999,0.01699996
1,-0.0100000000000006,0.0259999999999998,-0.0099999999999999,0.0069999689999999
0,-0.04,-0.0249999999999999,0.0099999999999999,-0.0159997939999999
0,-0.0699999999999994,-0.0109999999999996,-0.0199999999999999,-0.014000177
1,0.0,-0.024,-0.0199999999999999,-0.003999949
