Close,Open,Return,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,S&P500,USD_KRW,Dollar_Index,VIX,US_GDP,US_M2,US_Interest_Rate_3Y,US_UNRATE,KR_GDP,KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,US_Spread_10Y_3Y,KR_Spread_10Y_3Y
3276.18994140625,3265.72998046875,0.0037716028272285,0.0037645081665181,0.0050290611168973,25.019252232142858,57.29727921581551,26.194767398622844,26.415089045662967,1069174741,17865268589384,-0.3585067278103316,-9624757444,128708746749,-75640799123,12102556228,4241.83984375,1132.510009765625,91.8000030517578,16.31999969482422,23982.379,20477.1,0.47,5.9,524124400000000.0,2.041,1.338,1.03,0.70299983
3286.10009765625,3281.469970703125,0.0030249028375155,0.0030203370240382,0.0049991989793595,24.113542829241077,61.52689923732088,26.9284547188945,26.51776218030928,1301271218,21426510325089,0.2170800226564648,-101632141063,339712292926,-38810722863,-39545631810,4266.490234375,1132.6099853515625,91.81999969482422,15.970000267028809,23982.379,20477.1,0.48,5.9,524124400000000.0,2.06,1.384,1.01,0.676
3302.840087890625,3289.179931640625,0.0050941814725347,0.0050812500282535,0.0048953870772916,24.039969308035715,62.41189157540671,28.53178782647774,26.92056730954297,1198187970,18618608315198,-0.07921734268313,248467425445,566753931875,-13802120931,47529596847,4280.7001953125,1130.800048828125,91.80999755859376,15.619999885559082,23982.379,20477.1,0.48,5.9,524124400000000.0,2.1,1.441,1.06,0.6589999
3301.889892578125,3305.4599609375,-0.00028769037774,-0.0002877317685554,0.0048627500629112,23.9171142578125,63.449038222092646,29.387012853626857,27.41385641835975,1428764468,13796055583387,0.1924376673553149,-86753852283,-186767468590,-40174369235,-78867363410,4290.60986328125,1125.3399658203125,91.87999725341795,15.760000228881836,23982.379,20477.1,0.47,5.9,524124400000000.0,2.137,1.47,1.02,0.66700006
3286.679931640625,3305.260009765625,-0.0046064409875351,-0.0046170833316176,0.0049466223958798,23.712820870535715,69.10154575618222,28.5088360012096,27.632852334929723,1213046625,15509502688918,-0.1509820882527713,67905293320,-412606771064,-23577225658,41611244136,4291.7998046875,1129.0400390625,92.0500030517578,16.020000457763672,23982.379,20477.1,0.47,5.9,524124400000000.0,2.109,1.459,1.02,0.65
3296.679931640625,3288.6298828125,0.0030425840690269,0.0030379647774684,0.0049669831694441,23.282121930803573,69.35726806125555,28.29363948149512,27.7650097642428,1610375510,15646662100364,0.3275462598150338,7018476232,-44630686882,23578735044,32406647880,4297.5,1130.510009765625,92.44000244140624,15.829999923706056,23982.379,20477.1,0.46,5.9,524124400000000.0,2.092,1.448,0.99,0.64400005
3282.06005859375,3297.919921875,-0.004434726254908,-0.004444588822713,0.0048998451055625,22.930681501116077,59.300088629734375,26.636345902692483,27.53927699193274,1159231481,16075974682786,-0.2801483419230587,-408829358677,-587137459106,-34953871762,-206602099678,4319.93994140625,1129.5999755859375,92.5999984741211,15.479999542236328,23982.379,20633.3,0.47,5.4,524124400000000.0,2.09,1.469,1.01,0.62099993
3281.780029296875,3282.81005859375,-8.532119823390083e-05,-8.532483829438589e-05,0.0048584363350605,23.038539341517858,58.54520380234023,25.012009896726795,27.03382357289156,1019998165,15437887450990,-0.1201082944019875,-121557811968,-98659682214,15876478533,-75879205953,4352.33984375,1132.4100341796875,92.2300033569336,15.06999969482422,23982.379,20633.3,0.45,5.4,524124400000000.0,2.101,1.484,0.99,0.6170001
3293.2099609375,3285.2900390625,0.0034828451445827,0.0034767940852968,0.004850983752825,23.199236188616077,59.69064378058259,24.36613424062989,26.500285706439225,850406170,14529926270282,-0.1662669608822287,1502627218,211013868884,294422140,40500961104,4352.33984375,1129.77001953125,92.2300033569336,15.06999969482422,23982.379,20633.3,0.45,5.4,524124400000000.0,2.089,1.462,0.99,0.627
3305.2099609375,3295.43994140625,0.0036438611999654,0.0036372384211916,0.004872819305508,22.843523297991077,57.78600958679344,24.539694518723536,26.108167468896088,1029465279,14686383269810,0.2105571611739365,223784164541,139889522430,25745969130,-96460495807,4343.5400390625,1129.43994140625,92.5500030517578,16.440000534057617,23982.379,20633.3,0.42,5.4,524124400000000.0,2.119,1.465,0.9500000000000002,0.6539999
