class_weight,C,penalty,threshold,validation_rows,accuracy,balanced_accuracy,precision,recall,f1,buy_and_hold_cumulative_return,model_strategy_cumulative_return,trade_rate
none,0.1,l2,0.55,118,0.3389830508474576,0.40865384615384615,0.5,0.19230769230769232,0.2777777777777778,0.46995362547926267,0.1359678297319038,0.4576271186440678
balanced,0.01,l2,0.52,118,0.3389830508474576,0.40865384615384615,0.5,0.19230769230769232,0.2777777777777778,0.46995362547926267,0.06569460837648378,0.2542372881355932
balanced,0.1,l2,0.5,118,0.3983050847457627,0.4048076923076923,0.5660377358490566,0.38461538461538464,0.4580152671755725,0.46995362547926267,0.09830945331508434,0.3305084745762712
balanced,1.0,l1,0.52,118,0.3559322033898305,0.4032051282051282,0.5263157894736842,0.2564102564102564,0.3448275862068966,0.46995362547926267,0.10435524170221644,0.3220338983050847
balanced,1.0,l2,0.52,118,0.3559322033898305,0.4032051282051282,0.5263157894736842,0.2564102564102564,0.3448275862068966,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,10.0,l1,0.52,118,0.3559322033898305,0.4032051282051282,0.5263157894736842,0.2564102564102564,0.3448275862068966,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,10.0,l2,0.52,118,0.3559322033898305,0.4032051282051282,0.5263157894736842,0.2564102564102564,0.3448275862068966,0.46995362547926267,0.09600568658244946,0.3220338983050847
none,0.01,l2,0.52,118,0.3728813559322034,0.3977564102564103,0.5434782608695652,0.32051282051282054,0.4032258064516129,0.46995362547926267,0.17132026238421671,0.3898305084745763
balanced,0.1,l2,0.52,118,0.3474576271186441,0.3907051282051282,0.5128205128205128,0.2564102564102564,0.3418803418803419,0.46995362547926267,0.09830945331508434,0.3305084745762712
none,0.1,l1,0.5,118,0.4576271186440678,0.3826923076923077,0.5853658536585366,0.6153846153846154,0.6,0.46995362547926267,0.021164547221659724,0.11016949152542373
balanced,0.01,l2,0.5,118,0.3728813559322034,0.37948717948717947,0.5384615384615384,0.358974358974359,0.4307692307692308,0.46995362547926267,0.06569460837648378,0.2542372881355932
