Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
1,732159279,10020300000000.0,-0.046720421,-283227000000.0,425428000000.0,-44492193300.0,-34173799635.0
1,840134353,11099500000000.0,0.147474842,-9345471822.0,225176000000.0,-62164841449.0,-28467342413.0
1,1030288741,9729370000000.0,0.22633807,-173867000000.0,163085000000.0,-3976002544.0,6568850207.0
0,1305564027,10689600000000.0,0.26718266,-72594005014.0,-609558000000.0,-24363171288.0,-114608000000.0
1,1022970584,9744920000000.0,-0.216453148,23158344197.0,21387342238.0,29312275520.0,-22586713153.0
1,1605993694,9933180000000.0,0.569931452,11939645240.0,-191824000000.0,-22741924616.0,-12253204682.0
0,1321644983,11014500000000.0,-0.177054687,-589421000000.0,-442441000000.0,-8481321855.0,-96173913723.0
0,999275955,12291000000000.0,-0.243914994,-769583000000.0,-382997000000.0,-59294838223.0,-18955363726.0
1,948355122,10296200000000.0,-0.050957729,-458770000000.0,-3067762383.0,6024976984.0,18636822200.0
0,742601512,8831630000000.0,-0.2169584,-135730000000.0,-41938584939.0,32476703632.0,15031592938.0
0,870969540,9853720000000.0,0.1728626,-468298000000.0,-92536245916.0,-4940087640.0,-50276354221.0
1,733240925,9645450000000.0,-0.158132528,-63259789179.0,326599000000.0,63421809617.0,151035000000.0
1,665351048,11419800000000.0,-0.092588772,-254943000000.0,86408514458.0,77558545291.0,-104588000000.0
0,693717683,9570270000000.0,0.042634088,-321039000000.0,-503205000000.0,42198386535.0,9349143213.0
0,1024914928,9050330000000.0,0.477423674,-96162606678.0,-52159447197.0,36772639383.0,41543679644.0
1,1257385350,9779980000000.0,0.226819237,31640085566.0,150318000000.0,24210659811.0,127616000000.0
0,1736282680,12283900000000.0,0.380867592,94290153124.0,-252710000000.0,43688028366.0,52097206739.0
1,1002973383,11482600000000.0,-0.422344417,-57715515912.0,510369000000.0,14471454289.0,75904767497.0
0,1239909929,12120600000000.0,0.236234131,-156512000000.0,-597163000000.0,163067146.0,-63253995454.0
0,1018005341,11698100000000.0,-0.178968313,-709878000000.0,-237389000000.0,-34074930524.0,-7669727215.0
1,889941868,10807900000000.0,-0.125798429,-245268000000.0,140368000000.0,31248811925.0,135386000000.0
