Target,US_GDP,US_M2,US_UNRATE,KR_Interest_Rate_3Y,KR_Spread_10Y_3Y
0,27530.055,20799.3,3.6,3.543,0.08899999
1,27530.055,20799.3,3.6,3.506,0.106999874
0,27530.055,20799.3,3.6,3.493,0.082999945
1,27530.055,20799.3,3.6,3.484,0.0940001
0,27530.055,20799.3,3.6,3.545,0.089999914
0,27530.055,20799.3,3.6,3.626,0.059000015
1,27530.055,20799.3,3.6,3.585,0.07200003
0,27530.055,20799.3,3.6,3.583,0.049999952
0,27530.055,20799.3,3.6,3.567,0.07500005
0,27530.055,20799.3,3.6,3.571,0.049999952
1,27530.055,20799.3,3.6,3.592,0.055000067
0,27530.055,20799.3,3.6,3.609,0.05400014
1,27530.055,20799.3,3.6,3.568,0.042999983
0,27530.055,20799.3,3.6,3.538,0.06499982
0,27530.055,20799.3,3.6,3.557,0.05400014
0,27530.055,20799.3,3.6,3.584,0.041999817
1,27530.055,20799.3,3.6,3.662,0.013000011
1,28074.846,20791.2,3.5,3.613,-0.005999804
0,28074.846,20791.2,3.5,3.619,0.003999949
0,28074.846,20791.2,3.5,3.618,0.026000023
0,28074.846,20791.2,3.5,3.676,0.03699994
0,28074.846,20791.2,3.5,3.735,0.026000023
